classifier,accuracy,precision,recall,f1,time
AdaBoostClassifier,0.836,0.845,0.836,0.837,4.078
AdaBoostClassifier,0.860,0.868,0.860,0.862,4.078
AdaBoostClassifier,0.844,0.860,0.844,0.847,3.938
AdaBoostClassifier,0.835,0.844,0.835,0.836,4.031
AdaBoostClassifier,0.850,0.861,0.850,0.852,4.031
AdaBoostClassifier,0.819,0.835,0.819,0.823,4.219
AdaBoostClassifier,0.830,0.847,0.830,0.833,4.078
AdaBoostClassifier,0.842,0.854,0.842,0.844,4.203
AdaBoostClassifier,0.834,0.850,0.834,0.836,4.031
AdaBoostClassifier,0.816,0.838,0.816,0.821,4.188
GaussianNB,0.491,0.518,0.491,0.490,0.000
GaussianNB,0.502,0.520,0.502,0.500,0.000
GaussianNB,0.475,0.507,0.475,0.478,0.016
GaussianNB,0.485,0.505,0.485,0.481,0.016
GaussianNB,0.487,0.506,0.487,0.488,0.000
GaussianNB,0.473,0.495,0.473,0.472,0.000
GaussianNB,0.475,0.492,0.475,0.474,0.000
GaussianNB,0.488,0.517,0.488,0.488,0.016
GaussianNB,0.503,0.532,0.503,0.504,0.016
GaussianNB,0.513,0.529,0.513,0.510,0.016
KNeighborsClassifier,0.879,0.886,0.879,0.878,0.016
KNeighborsClassifier,0.883,0.888,0.883,0.882,0.016
KNeighborsClassifier,0.882,0.886,0.882,0.882,0.000
KNeighborsClassifier,0.884,0.887,0.884,0.883,0.000
KNeighborsClassifier,0.880,0.892,0.880,0.881,0.016
KNeighborsClassifier,0.859,0.869,0.859,0.860,0.016
KNeighborsClassifier,0.882,0.889,0.882,0.882,0.016
KNeighborsClassifier,0.873,0.880,0.873,0.873,0.000
KNeighborsClassifier,0.895,0.900,0.895,0.894,0.000
KNeighborsClassifier,0.880,0.888,0.880,0.879,0.000
LogisticRegression,0.593,0.601,0.593,0.591,3.703
LogisticRegression,0.586,0.581,0.586,0.577,3.703
LogisticRegression,0.595,0.591,0.595,0.588,3.531
LogisticRegression,0.575,0.583,0.575,0.570,3.641
LogisticRegression,0.570,0.572,0.570,0.563,3.703
LogisticRegression,0.596,0.598,0.596,0.587,3.641
LogisticRegression,0.577,0.579,0.577,0.570,3.750
LogisticRegression,0.598,0.615,0.598,0.588,3.812
LogisticRegression,0.606,0.609,0.606,0.599,4.094
LogisticRegression,0.603,0.609,0.603,0.599,4.062
RandomForestClassifier,0.892,0.897,0.892,0.892,3.094
RandomForestClassifier,0.906,0.910,0.906,0.905,3.125
RandomForestClassifier,0.874,0.880,0.874,0.874,3.031
RandomForestClassifier,0.896,0.900,0.896,0.896,3.062
RandomForestClassifier,0.893,0.897,0.893,0.893,3.078
RandomForestClassifier,0.910,0.912,0.910,0.909,3.141
RandomForestClassifier,0.882,0.887,0.882,0.882,3.125
RandomForestClassifier,0.906,0.909,0.906,0.905,3.125
RandomForestClassifier,0.891,0.895,0.891,0.892,3.031
RandomForestClassifier,0.908,0.911,0.908,0.908,3.078
SVC,0.923,0.924,0.923,0.923,1.719
SVC,0.919,0.919,0.919,0.918,1.719
SVC,0.934,0.934,0.934,0.933,1.734
SVC,0.937,0.938,0.937,0.937,1.766
SVC,0.944,0.945,0.944,0.944,1.812
SVC,0.924,0.925,0.924,0.924,1.750
SVC,0.924,0.926,0.924,0.924,1.719
SVC,0.921,0.921,0.921,0.920,1.781
SVC,0.921,0.921,0.921,0.921,1.734
SVC,0.936,0.936,0.936,0.936,1.750
